Código,Nome do Produto,Referência,Preço,Quantidade,Variação 1,Variação 2
1171,ANEL DE VEDAÇÃO PARA LENTE PARA RAYTOOLS 32.2*24,Raytools,"1.016,34",10,,
1290,MOTOR DE PASSO LEADSHINE 573S20-LS servo motor híbrido trifásico 2.0,573S20-LS,"7.454,90",11,,
260,COLMEIA 1300X900 PARA MÁQUINAS DE CORTE A LASER,,"7.627,16",6,,
276,"DRIVE DE MOVIMENTO 3DM580/583 s X, Y LEADSHINE",7899765432284,"4.944,17",7,,
420,CORREIA 20MM LARGURA ABERTA DISTANCIA DOS DENTES 3M,7890001003031,"2.781,26",38,,
460,PLUG CONECTOR PARA CABO DE ALTA TENSÃO MACHO (TUBO),ML-C22,"991,90",29,,
573,ÁGUA DESMINERALIZADA 5L REFRIGERAÇÃO LASER CHILLER,ML5L,"537,82",9,,
661,CORREIA QUADRO MOVIMENTO 10MM LARGURA ABERTA DISTANCIA DENTES 2MM,7899765432273,"1.300,55",19,,
729,POLIA DO QUADRO DE MOVIMENTO 24 DENTES 3M COM FURO DE 10MM,24D8,"2.000,18",31,,
971,FONTE LASER 50W ZYE,,"5.706,92",6,,
1261,ANEL PROTEÇÃO VEDAÇÃO LENTE LASER CO2 20MM,CO2 20MM,"360,00",10,,
66,FONTE RECI DY-10 80/90W,7899765432196,"9.250,00",5,,
234,BOTÃO LIGA DESLIGA PARA MÁQUINAS DE CORTE A LASER - VERMELHO,5000014,"157,24",6,,
368,TUBO LASER 80W MARCA SPT,7890001003307,"9.896,50",5,,
422,DIODO RED POINT (MIRA LASER) PARA MAQUINA DE CORTE A LASER,,"697,35",7,,
595,Tubo laser CO2 60/70W SPT,GS70,"10.400,00",5,,
647,CÂMERA PARA MAQUINA DE CORTE LASER KIT RDV6445G CONTORNO V S,RDV6445G,"53.300,00",5,,
675,TUBO LASER 80W 8500HR BESTBEAM,7890001003314,"11.800,00",5,,
679,TUBO LASER 130W 8500HR BESTBEAM,7890001003277,"21.416,99",5,,
737,ANEL DE VEDAÇÃO PARA LENTE PARA RAYTOOLS 29.4*20,Raytools,"530,86",5,,
